ranking_final,cod_mun,municipio,uf,classificacao_fuzzy,confianca_classificacao,score_final,dinamismo_economico,infraestrutura_urbana,conectividade_digital,oferta_servicos,seguranca_territorial,empresas_1k,regic_var60,via_pav_pct,indice_conectividade,estab_saude_10k,homicidios_100k
85,2802908,Itabaiana (SE),SE,baixo,0.7378290659935086,0.36000000000000004,0.2546218487394958,0.7058823529411765,0.5294117647058824,0.25210084033613445,0.14285714285714285,30.781129156999228,0.01368377573556,94.28,68.55,18.948182521268368,38.669760247486465
86,2516201,Sousa (PB),PB,baixo,0.6819329246303647,0.3534873949579833,0.3197478991596639,0.29411764705882354,0.25630252100840334,0.5210084033613446,0.3865546218487395,36.366880268811606,0.012588731690667,81.72,59.54,28.992402503754146,22.30184807981088
87,2611101,Petrolina (PE),PE,baixo,0.6806707536963579,0.35334033613445387,0.5279411764705882,0.12605042016806722,0.3865546218487395,0.33613445378151263,0.21008403361344538,32.73344002316497,0.117776419539206,69.99,63.8,23.113257547357616,34.90257012184875
88,5212501,Luziânia (GO),GO,baixo,0.6730977280923187,0.35245798319327737,0.5123949579831933,0.2857142857142857,0.2857142857142857,0.23529411764705882,0.3445378151260504,31.35385336323513,0.134322305346087,81.61,60.03,18.50532446480402,23.90868793902328
89,2402006,Caicó (RN),RN,baixo,0.5434547421565089,0.33735294117647063,0.2701680672268908,0.058823529411764705,0.31092436974789917,0.6554621848739496,0.36134453781512604,34.21319464887319,0.007167715531424,56.04,60.63,35.325287017957024,22.896019363490662
90,2913606,Ilhéus (BA),BA,muito_baixo,0.5697800216372161,0.3241596638655463,0.41386554621848737,0.19327731092436976,0.5588235294117647,0.226890756302521,0.09243697478991597,31.771798330805098,0.055590575871707,75.72,69.01,17.968194616258696,44.78054733023974
91,2109106,Presidente Dutra (MA),MA,muito_baixo,0.6163000360620268,0.3187394957983194,0.4798319327731093,0.47058823529411764,0.16806722689075632,0.17647058823529413,0.23529411764705882,34.857712324216585,0.062323865013848,89.66,55.72,15.059240394197763,33.21891263425977
92,1506807,Santarém (PA),PA,muito_baixo,0.8521456905878111,0.29126050420168076,0.4428571428571429,0.025210084033613446,0.1092436974789916,0.13445378151260504,0.7058823529411765,30.767423224539225,0.084750300247816,39.28,52.28,14.49048327719903,11.74904049502624
93,3204906,São Mateus (ES),ES,muito_baixo,0.9116480346195459,0.28432773109243703,0.276890756302521,0.09243697478991597,0.40336134453781514,0.3697478991596639,0.2184873949579832,33.955006787769086,0.008360184868489,65.66,64.26,23.67638502812076,34.74691318120111
94,1502400,Castanhal (PA),PA,muito_baixo,0.9689866570501265,0.27764705882352947,0.27142857142857146,0.3277310924369748,0.4789915966386555,0.06722689075630252,0.25210084033613445,31.16157623169108,0.014392980090349,82.76,67.79,11.807173768308921,31.208388814913448
95,2613909,Serra Talhada (PE),PE,muito_baixo,0.9855751893256401,0.2757142857142858,0.16974789915966387,0.31092436974789917,0.19327731092436976,0.42016806722689076,0.3697478991596639,25.621286377239016,0.008594287342409,82.44,56.52,24.61291581732229,22.76965780457128
96,1200203,Cruzeiro do Sul (AC),AC,muito_baixo,1.0,0.27151260504201685,0.1865546218487395,0.33613445378151263,0.09243697478991597,0.21008403361344538,0.6974789915966386,27.348511231063902,0.012386935268377,82.95,49.81,17.303674037959254,11.971095246386906
97,2207702,Parnaíba (PI),PI,muito_baixo,1.0,0.25142857142857145,0.23025210084033615,0.453781512605042,0.3277310924369748,0.16806722689075632,0.10084033613445378,30.445427019160206,0.013022447953771,89.28,61.42,14.861956474817926,44.40086581688343
98,2311306,Quixadá (CE),CE,muito_baixo,1.0,0.24731092436974791,0.11008403361344539,0.3865546218487395,0.37815126050420167,0.2773109243697479,0.16806722689075632,19.484839844121282,0.006305633738981,85.59,63.65,19.841269841269842,38.0191996958464
99,5003207,Corumbá (MS),MS,muito_baixo,1.0,0.2454621848739496,0.08991596638655462,0.3949579831932773,0.17647058823529413,0.2605042016806723,0.4789915966386555,28.493372667968586,0.0,85.9,55.93,19.424938712760213,19.73656874558524
100,1506138,Redenção (PA),PA,muito_baixo,1.0,0.24445378151260508,0.4436974789915966,0.03361344537815126,0.29411764705882354,0.19327731092436976,0.058823529411764705,41.718751825414444,0.029047898930903,42.08,60.39,16.472539925464677,47.89887496057105
