geocodigo_municipio,nome_municipio,uf,categoria,classe_abc
4300406,Alegrete,RS,demais municipios,A
2914604,Irecê,BA,capital de intermediaria,A
2313401,Tianguá,CE,demais municipios,A
2907202,Casa Nova,BA,demais municipios,A
4105508,Cianorte,PR,capital de imediata,A
4317509,Santo Ângelo,RS,capital de imediata,A
1508100,Tucuruí,PA,capital de imediata,A
3527207,Lorena,SP,demais municipios,A
3503901,Arujá,SP,conurbado com uf,A
3306008,Três Rios,RJ,capital de imediata,A
2301109,Aracati,CE,capital de imediata,A
4119954,Pontal do Paraná,PR,demais municipios,A
3137601,Lagoa Santa,MG,demais municipios,A
2109908,Santa Inês,MA,capital de intermediaria,A
4109609,Guaratuba,PR,demais municipios,A
2303501,Cascavel,CE,demais municipios,A
3515509,Fernandópolis,SP,capital de imediata,A
2402600,Ceará-Mirim,RN,demais municipios,A
2802106,Estância,SE,capital de imediata,A
3529302,Matão,SP,demais municipios,A
2921500,Monte Santo,BA,demais municipios,A
3306107,Valença,RJ,capital de imediata,A
4317202,Santa Rosa,RS,capital de imediata,A
2601201,Arcoverde,PE,capital de imediata,A
3135209,Januária,MG,capital de imediata,A
5107040,Primavera do Leste,MT,capital de imediata,A
2604007,Carpina,PE,capital de imediata,A
3527108,Lins,SP,capital de imediata,A
1200203,Cruzeiro do Sul,AC,capital de intermediaria,A
2601904,Bezerros,PE,demais municipios,A
3136207,João Monlevade,MG,capital de imediata,A
3524303,Jaboticabal,SP,demais municipios,A
4201406,Araranguá,SC,capital de imediata,A
4215802,São Bento do Sul,SC,capital de imediata,A
2910701,Euclides da Cunha,BA,capital de imediata,A
5101803,Barra do Garças,MT,capital de intermediaria,A
3506102,Bebedouro,SP,demais municipios,A
5213103,Mineiros,GO,capital de imediata,A
1303403,Parintins,AM,capital de intermediaria,A
2108603,Pinheiro,MA,capital de imediata,A
4322608,Venâncio Aires,RS,demais municipios,A
3168705,Timóteo,MG,demais municipios,A
3169307,Três Corações,MG,capital de imediata,A
2103208,Chapadinha,MA,capital de imediata,A
4319901,Sapiranga,RS,demais municipios,A
3164704,São Sebastião do Paraíso,MG,capital de imediata,A
2501807,Bayeux,PB,conurbado com uf,A
2706307,Palmeira dos Índios,AL,capital de imediata,A
1718204,Porto Nacional,TO,capital de imediata,A
