"Municípios, cluster, categoria, classe ABC e UF - SC todos",,,,,,
Tabela em formato longo: cada linha corresponde a um município classificado no universo analisado.,,,,,,
,,,,,,
Cluster,Código do município,Município,UF,Categoria,Classe ABC,Domicílios CNEFE
5,4214607,Rio do Oeste (SC),SC,demais municipios,C,4542
5,4215208,Romelândia (SC),SC,demais municipios,C,3394
5,4215356,Saltinho (SC),SC,demais municipios,C,2404
5,4215505,Santa Cecília (SC),SC,demais municipios,C,7532
5,4215554,Santa Helena (SC),SC,demais municipios,C,1514
5,4215679,Santa Terezinha (SC),SC,demais municipios,C,4892
5,4215687,Santa Terezinha do Progresso (SC),SC,demais municipios,C,2105
5,4217758,Sul Brasil (SC),SC,demais municipios,C,1764
5,4215752,São Bernardino (SC),SC,demais municipios,C,1722
5,4216057,São Cristóvão do Sul (SC),SC,demais municipios,C,2371
5,4216800,São José do Cerrito (SC),SC,demais municipios,C,7001
5,4217154,São Miguel da Boa Vista (SC),SC,demais municipios,C,1334
5,4217956,Tigrinhos (SC),SC,demais municipios,C,1479
5,4218251,Timbó Grande (SC),SC,demais municipios,C,4146
5,4218301,Três Barras (SC),SC,demais municipios,C,9082
5,4218855,União do Oeste (SC),SC,demais municipios,C,1885
5,4218954,Urupema (SC),SC,demais municipios,C,2037
5,4219150,Vargem (SC),SC,demais municipios,C,2015
5,4219358,Vitor Meireles (SC),SC,demais municipios,C,3199
5,4219408,Witmarsum (SC),SC,demais municipios,C,2941
5,4219853,Zortéa (SC),SC,demais municipios,C,2347
